product_name,prices,discount_percent,stars,rating,total_purchased,deal,device_setup
"HONOR MagicBook X16 (2023), 12th Gen Intel Core i5-12450H (8GB/512GB NVMe SSD, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop/Windows 11/Backlit Keyboard/Fingerprint Login/1.75Kg), Gray","₹53,990₹53,990",(30% off),4.0 out of 5 stars,408,No data,Save extra with No Cost EMI,Service: Device Setup
"Acer One 14 Laptop Intel Core i5 1135G7 (Windows 11 Home/16GB RAM/512GB SSD) Z8-415 with 35.56 cm (14.0"") Full HD Display","₹39,500₹39,500",(34% off),3.1 out of 5 stars,31,No data,Save extra with No Cost EMI,Service: Device Setup
"HP Laptop 15, AMD Ryzen 3 7320U, 15.6-inch (39.6 cm), FHD, 8GB LPDDR5, 512GB SSD, AMD Radeon graphics, FHD camera w/privacy shutter, Backlit KB (Win 11, MSO 2021, Silver, 1.59 kg), fc0026AU","₹37,999₹37,999",(16% off),4.1 out of 5 stars,19,No data,Save extra with No Cost EMI,Service: Device Setup
"Dell 15 Laptop, Intel Core i5-1135G7 Processor/ 8GB DDR4/ 512GB SSD/ 15.6"" (39.62cm) FHD/Mobile Connect/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Carbon Black/Thin & Light-1.69kg","₹44,990₹44,990",(25% off),3.7 out of 5 stars,344,No data,Save extra with No Cost EMI,Service: Device Setup
"HP Laptop 15s, Intel Pentium Silver N6000, 15.6-inch (39.6 cm), HD, 8GB DDR4, 512GB SSD, Intel UHD graphics, Thin & light, Dual speakers (Win 11, MSO 2021, Silver, 1.65 kg), fq3073TU","₹28,990₹28,990",(22% off),3.2 out of 5 stars,244,No data,Save extra with No Cost EMI,Service: Device Setup
"Dell Alienware m18 R1 Gaming Laptop, Intel Core i9-13980HX Processor/64GB/1TB SSD/18.0"" (45.72cm) QHD+ FHD 165Hz/NVIDIA RTX 4090 16GB GDDR6/Win 11 + MSO'21/15 Month McAfee/Dark Metallic Moon/2.72kg","₹4,51,150₹4,51,150",(17% off),3.4 out of 5 stars,17,No data,Save extra with No Cost EMI,Service: Device Setup
"ASUS VivoBook 15 (2022), Intel®Core™ i3-1215U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB/512 SSD//Windows 11/Office 2021//Backlit KB/Icelight Silver/1.7 kg), X1502ZA-EJ322WS","₹35,990₹35,990",(37% off),4.0 out of 5 stars,129,No data,Save extra with No Cost EMI,Service: Device Setup
"Dell 15 Laptop, Intel Core i5-1135G7 Processor/ 8GB/ 1TB+256GB SSD/15.6""(39.62cm) FHD Display/Mobile Connect/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Black/Thin & Light 1.69kg","₹47,990₹47,990",(32% off),3.4 out of 5 stars,253,No data,Save extra with No Cost EMI,Service: Device Setup
"HP Pavilion 14, 11th Gen Intel Core i7-1195G7, 14-inch (35.6 cm), FHD, 16GB DDR4, 1TB SSD, Intel Iris Xe graphics, FPR, Backlit KB, Audio by B&O (Win 11, MSO 2019, Silver, 1.41 kg), dv1029TU","₹74,928₹74,928",(25% off),3.7 out of 5 stars,34,No data,Save extra with No Cost EMI,Service: Device Setup
"ASUS TUF Gaming F17 - Gaming Laptop, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) FHD 144Hz, (16GB/512GB SSD/4GB NVIDIA RTX 2050/Win 11/ RGB Backlit/Black/2.60 kg),FX706HF-HX019W","₹56,990₹56,990",(3% off),3.9 out of 5 stars,313,No data,Save extra with No Cost EMI,Service: Device Setup
"ASUS Zenbook 14 (2023), AMD Ryzen 7 7730U, 14"" (35.56 cm) 2.5K, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Backlit KB/FP Sensor/Jade Black/1.35 kg), UM3402YA-KP741WS","₹69,990₹69,990",(41% off),3.7 out of 5 stars,6,No data,Save extra with No Cost EMI,Service: Device Setup
"(Refurbished) Lenovo ThinkPad 7th Gen Intel i5,16 GB,1TB HDD + 256 GB SSD,14"" (35.6 cm) HD Touchscreen Laptop (Windows 11/MS Office/WiFi/Webcam/Intel Graphics/Thin & Light)","₹24,499₹24,499",(76% off),4.4 out of 5 stars,7,No data,Save extra with No Cost EMI,No data
"AVITA Laptop Liber E Intel Core I3-1215U 15.6 Inch 8Gb Ram, 512Gb Ssd - Windows 11 Home","₹25,494₹25,494",(53% off),5.0 out of 5 stars,1,No data,Save extra with No Cost EMI,Service: Device Setup
