,title,price,original_price,discount,star,review,description
220,"Nothing Phone (2a) 5G (White, 256 GB)","₹27,999","₹29,999",6% off,4.4,"5,852 Ratings & 575 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP (OIS) + 50MP | 32MP Front Camera5000 mAh BatteryDimensity 7200 Pro Processor1 Year Manufacturing Warranty
221,"POCO X6 5G (Mirror Black, 256 GB)","₹18,999","₹24,999",24% off,4.2,"12,165 Ratings & 1,466 Reviews",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display64MP + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
222,"Nothing Phone (2a) 5G (White, 256 GB)","₹25,999","₹27,999",7% off,4.4,"38,918 Ratings & 3,989 Reviews",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP (OIS) + 50MP | 32MP Front Camera5000 mAh BatteryDimensity 7200 Pro Processor1 Year Manufacturing Warranty
223,"Infinix GT 20 Pro (Mecha Blue, 256 GB)","₹23,999","₹31,999",25% off,4.3,"2,562 Ratings & 188 Reviews",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 8200 Ultimate Processor1 Year Warranty
224,"Nothing Phone (2a) 5G (Black, 256 GB)","₹25,999","₹27,999",7% off,4.4,"38,918 Ratings & 3,989 Reviews",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP (OIS) + 50MP | 32MP Front Camera5000 mAh BatteryDimensity 7200 Pro Processor1 Year Manufacturing Warranty
225,"REDMI 13C 5G (Startrail Silver, 128 GB)","₹11,999","₹15,999",25% off,4.2,"8,518 Ratings & 387 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
226,"Infinix GT 20 Pro (Mecha Silver, 256 GB)","₹25,999","₹34,999",25% off,4.3,"1,862 Ratings & 127 Reviews",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 8200 Ultimate Processor1 Year Warranty
227,"Nothing Phone (2a) 5G (White, 128 GB)","₹23,999","₹25,999",7% off,4.4,"38,918 Ratings & 3,989 Reviews",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP (OIS) + 50MP | 32MP Front Camera5000 mAh BatteryDimensity 7200 Pro Processor1 Year Manufacturing Warranty
228,"Nothing Phone (2a) 5G (Black, 128 GB)","₹23,999","₹25,999",7% off,4.4,"38,918 Ratings & 3,989 Reviews",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP (OIS) + 50MP | 32MP Front Camera5000 mAh BatteryDimensity 7200 Pro Processor1 Year Manufacturing Warranty
229,"REDMI 13C 5G (Startrail Green, 128 GB)","₹11,999","₹15,999",25% off,4.2,"8,518 Ratings & 387 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
230,"REDMI 13C 5G (Startrail Green, 256 GB)","₹13,999","₹17,999",22% off,4.2,"3,813 Ratings & 187 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
231,"IQOO z9x (Tornado Green, 128 GB)","₹14,539","₹18,999",23% off,4.3,"1,000 Ratings & 35 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh BatteryQualcomm SM6450 Snapdragon 6 Gen 1 Processor1 Year on Handset and 6 Months on Accessories
232,"Nothing Phone (2a) 5G (Blue, 256 GB)","₹27,999","₹29,999",6% off,4.4,"5,852 Ratings & 575 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP (OIS) + 50MP | 32MP Front Camera5000 mAh BatteryDimensity 7200 Pro Processor1 Year Manufacturing Warranty
233,Nokia 150,"₹2,649","₹3,199",17% off,4.1,"11,634 Ratings & 1,046 Reviews",4 MB RAM | 4 MB ROM6.1 cm (2.4 inch) Display0.3MP Rear Camera | 0MP Front Camera1450 mAh Battery6261D Processor1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase
234,"REDMI 13C 5G (Starlight Black, 256 GB)","₹13,999","₹17,999",22% off,4.2,"3,813 Ratings & 187 Reviews",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
235,"realme C53 (Champion Black, 64 GB)","₹10,999","₹12,999",15% off,4.4,"1,28,193 Ratings & 5,814 Reviews",6 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) HD Display108MP + 2MP | 8MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
236,"Google Pixel 7 (Snow, 128 GB)","₹34,999","₹59,999",41% off,4.3,"14,834 Ratings & 1,769 Reviews",8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 ProcessorNA
237,"REDMI 13c 5G (Startrail Green, 128 GB)","₹10,278","₹13,999",26% off,4.3,"11,970 Ratings & 389 Reviews",4 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 Year
238,"Infinix GT 20 Pro (Mecha Silver, 256 GB)","₹23,999","₹31,999",25% off,4.3,"2,562 Ratings & 188 Reviews",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 8200 Ultimate Processor1 Year Warranty
239,"Infinix GT 20 Pro (Mecha Orange, 256 GB)","₹23,999","₹31,999",25% off,4.3,"2,562 Ratings & 188 Reviews",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 8200 Ultimate Processor1 Year Warranty
