,id,title,price,original_price,discount,star,ratings_reviews,description,brand,model,camera,screen_size_cm,screen_size_inch,display,ram,storage,expandable_storage,color,processor,battery,rating,review,rear_camera,front_camera
34,34,"Redmi 13C (Starshine Green, 128 Gb)",7699,11999,35,4.2,"31,262 Ratings & 1,309 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Redmi,Redmi 13C ,50MP Rear Camera | 8MP Front Camera,17.12,6.74,HD+,4 GB,128 GB,1 TB,Starshine Green,Helio G85 Processor,5000 mAh Battery,31262,1309,50MP,8MP
35,35,"Samsung Galaxy S23 Fe (Graphite, 128 Gb)",44999,79999,43,4.3,"9,896 Ratings & 649 Reviews",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4500 mAh BatterySamsung Exynos 2200 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung,Samsung Galaxy S23 Fe ,50MP + 12MP | 10MP Front Camera,16.26,6.4,Full HD+,8 GB,128 GB,,Graphite,Samsung Exynos 2200 Processor,4500 mAh Battery,9896,649,50MP,10MP
36,36,"Realme P1 5G (Peacock Green, 128 Gb)",16999,21999,22,4.3,"10,355 Ratings & 574 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Realme,Realme P1 5G ,50MP + 2MP | 16MP Front Camera,16.94,6.67,Full HD+,8 GB,128 GB,2 TB,Peacock Green,Dimensity 7050 Processor,5000 mAh Battery,10355,574,50MP,16MP
37,37,"Motorola Edge 50 Fusion (Forest Blue, 128 Gb)",22999,25999,11,4.5,"24,505 Ratings & 1,465 Reviews",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera5000 mAh Battery7s Gen 2 Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola Edge 50 Fusion ,50MP + 13MP | 32MP Front Camera,17.02,6.7,Full HD+,8 GB,128 GB,,Forest Blue,7s Gen 2 Processor,5000 mAh Battery,24505,1465,50MP,32MP
38,38,"Poco C65 (Matte Black, 128 Gb)",7499,11999,37,4.2,"11,352 Ratings & 590 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,Poco,Poco C65 ,50MP + AI Lens + 2MP | 8MP Front Camera,17.12,6.74,HD+,6 GB,128 GB,1 TB,Matte Black,Helio G85 Processor,5000 mAh Battery,11352,590,50MP,8MP
39,39,"Motorola Edge 50 Pro 5G With 68W Charger (Black Beauty, 256 Gb)",31999,36999,13,4.4,"20,867 Ratings & 1,831 Reviews",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP + 13MP + 10MP | 50MP Front Camera4500 mAh Battery7 Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola Edge 50 Pro 5G With 68W Charger ,50MP + 13MP + 10MP | 50MP Front Camera,17.02,6.7,Full HD+,8 GB,256 GB,,Black Beauty,7 Gen 3 Mobile Platform Processor,4500 mAh Battery,20867,1831,50MP,50MP
40,40,"Realme P1 5G (Peacock Green, 128 Gb)",15999,20999,23,4.3,"20,996 Ratings & 1,324 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,Realme,Realme P1 5G ,50MP + 2MP | 16MP Front Camera,16.94,6.67,Full HD+,6 GB,128 GB,2 TB,Peacock Green,Dimensity 7050 Processor,5000 mAh Battery,20996,1324,50MP,16MP
41,41,"Redmi 13C (Starfrost White, 128 Gb)",7699,11999,35,4.2,"31,262 Ratings & 1,309 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Redmi,Redmi 13C ,50MP Rear Camera | 8MP Front Camera,17.12,6.74,HD+,4 GB,128 GB,1 TB,Starfrost White,Helio G85 Processor,5000 mAh Battery,31262,1309,50MP,8MP
42,42,"Redmi 13C (Starfrost White, 128 Gb)",8499,13999,39,4.2,"10,033 Ratings & 413 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Redmi,Redmi 13C ,50MP Rear Camera | 8MP Front Camera,17.12,6.74,HD+,6 GB,128 GB,1 TB,Starfrost White,Helio G85 Processor,5000 mAh Battery,10033,413,50MP,8MP
43,43,"Motorola G85 5G (Urban Grey, 128 Gb)",17999,20999,14,4.5,"6,166 Ratings & 335 Reviews",8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5000 mAh Battery6s Gen 3 Processor1 Year on Handset and 6 Months on Accessories,Motorola,Motorola G85 5G ,50MP + 8MP | 32MP Front Camera,16.94,6.67,Full HD+,8 GB,128 GB,,Urban Grey,6s Gen 3 Processor,5000 mAh Battery,6166,335,50MP,32MP
