,id,title,price,original_price,discount,star,ratings_reviews,description,brand,model,camera,screen_size_cm,screen_size_inch,display,ram,storage,expandable_storage,color,processor,battery,rating,review
139,139,"realme 12 Pro 5G (Navigator Beige, 256 GB)","₹24,999","₹33,999",26% off,4.4,"5,730 Ratings & 328 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 32MP | 16MP Front Camera5000 mAh BatterySnapdragon 6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme 12 Pro 5G ,50MP + 8MP + 32MP | 16MP Front Camera,17.02,6.7,Full HD+,12 GB RAM,256 GB,,Navigator Beige,Snapdragon 6 Gen 1 Processor,5000 mAh Battery,"5,730 Ratings",328 Reviews
140,140,"Infinix Note 40 Pro 5G (Vintage Green, 256 GB)","₹21,999","₹27,999",21% off,4.0,"7,660 Ratings & 568 Reviews",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryMediatek Dimensity 7020 Processor1 Year Warranty on Handset and 6 Months Warranty on Inbox Accessories,Infinix,Infinix Note 40 Pro 5G ,108MP (OIS) + 2MP + 2MP | 32MP Front Camera,17.22,6.78,Full HD+,8 GB RAM,256 GB,,Vintage Green,Mediatek Dimensity 7020 Processor,5000 mAh Battery,"7,660 Ratings",568 Reviews
141,141,"REDMI 12 (Jade Black, 128 GB)","₹9,999","₹15,999",37% off,4.2,"49,442 Ratings & 3,305 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 8MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G88 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,REDMI,REDMI 12 ,50MP + 8MP + 2MP | 8MP Front Camera,17.25,6.79,Full HD+,6 GB RAM,128 GB,1 TB,Jade Black,Helio G88 Processor,5000 mAh Battery,"49,442 Ratings","3,305 Reviews"
142,142,"realme 12 Pro 5G (Submarine Blue, 256 GB)","₹24,999","₹31,999",21% off,4.4,"20,369 Ratings & 2,041 Reviews",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 32MP | 16MP Front Camera5000 mAh BatterySnapdragon 6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme 12 Pro 5G ,50MP + 8MP + 32MP | 16MP Front Camera,17.02,6.7,Full HD+,8 GB RAM,256 GB,,Submarine Blue,Snapdragon 6 Gen 1 Processor,5000 mAh Battery,"20,369 Ratings","2,041 Reviews"
143,143,"realme 12 Pro 5G (Submarine Blue, 128 GB)","₹22,999","₹29,999",23% off,4.4,"20,369 Ratings & 2,041 Reviews",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 32MP | 16MP Front Camera5000 mAh BatterySnapdragon 6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,realme,realme 12 Pro 5G ,50MP + 8MP + 32MP | 16MP Front Camera,17.02,6.7,Full HD+,8 GB RAM,128 GB,,Submarine Blue,Snapdragon 6 Gen 1 Processor,5000 mAh Battery,"20,369 Ratings","2,041 Reviews"
144,144,"Infinix SMART 8 (Rainbow Blue, 128 GB)","₹7,999","₹10,999",27% off,4.3,"7,642 Ratings & 448 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 8MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year on Handset and 6 Months on Accessories,Infinix,Infinix SMART 8 ,50MP + AI Lens | 8MP Front Camera,16.76,6.6,HD+,8 GB RAM,128 GB,2 TB,Rainbow Blue,Helio G36 Processor,5000 mAh Battery,"7,642 Ratings",448 Reviews
145,145,"Infinix SMART 8 (Timber Black, 128 GB)","₹7,999","₹10,999",27% off,4.3,"7,642 Ratings & 448 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 8MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year on Handset and 6 Months on Accessories,Infinix,Infinix SMART 8 ,50MP + AI Lens | 8MP Front Camera,16.76,6.6,HD+,8 GB RAM,128 GB,2 TB,Timber Black,Helio G36 Processor,5000 mAh Battery,"7,642 Ratings",448 Reviews
146,146,"Infinix SMART 8 (Rainbow Blue, 64 GB)","₹7,299","₹8,999",18% off,4.3,"22,055 Ratings & 1,387 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 8MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year on Handset and 6 Months on Accessories,Infinix,Infinix SMART 8 ,50MP + AI Lens | 8MP Front Camera,16.76,6.6,HD+,4 GB RAM,64 GB,2 TB,Rainbow Blue,Helio G36 Processor,5000 mAh Battery,"22,055 Ratings","1,387 Reviews"
147,147,"Infinix SMART 8 (Galaxy White, 64 GB)","₹7,299","₹8,999",18% off,4.3,"22,055 Ratings & 1,387 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 8MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year on Handset and 6 Months on Accessories,Infinix,Infinix SMART 8 ,50MP + AI Lens | 8MP Front Camera,16.76,6.6,HD+,4 GB RAM,64 GB,2 TB,Galaxy White,Helio G36 Processor,5000 mAh Battery,"22,055 Ratings","1,387 Reviews"
148,148,"Infinix SMART 8 (Shiny Gold, 64 GB)","₹7,299","₹8,999",18% off,4.3,"22,055 Ratings & 1,387 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 8MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year on Handset and 6 Months on Accessories,Infinix,Infinix SMART 8 ,50MP + AI Lens | 8MP Front Camera,16.76,6.6,HD+,4 GB RAM,64 GB,2 TB,Shiny Gold,Helio G36 Processor,5000 mAh Battery,"22,055 Ratings","1,387 Reviews"
