,pid,brand,title,stock,highlights,mrp,price,rating,first_image_url,model,screen_size_inch,display,ram,storage,color,processor,battery,average_rating,rear_camera,front_camera
638,MOBGHT8U5HGTWKTZ,Samsung,"Samsung Galaxy A23 5G (Silver, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) Full HD+ Display', '50MP + 5MP | 8MP Front Camera', '5000 mAh Lithium Ion Battery', 'Qualcomm Snapdragon 695 (SM6375) Processor']",30990.0,21499.0,"{'average': 4.0, 'count': 1215, 'reviewCount': 63, 'breakup': [154, 55, 83, 235, 688]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/f/g/i/-original-imagmfhbbex3ubzy.jpeg?q=90,Samsung Galaxy A23 5G ,6.6,Full HD+,8,128,Silver,Qualcomm Snapdragon 695 (SM6375) Processor,5000,4.0,50,8
640,MOBGX2F3XNW3HK8K,Samsung,"Samsung Galaxy S24 Ultra 5G (Titanium Gray, 512 Gb)",IN_STOCK,"['12 GB RAM | 512 GB ROM', '17.27 cm (6.8 inch) Quad HD+ Display', '200MP + 50MP + 12MP + 10MP | 12MP Front Camera', '5000 mAh Battery', 'Snapdragon 8 Gen 3 Processor']",144999.0,130999.0,"{'average': 4.6, 'count': 1944, 'reviewCount': 247, 'breakup': [111, 27, 41, 231, 1534]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/5/i/7/-original-imahfu766ybd5h4z.jpeg?q=90,Samsung Galaxy S24 Ultra 5G ,6.8,HD+,12,512,Titanium Gray,Snapdragon 8 Gen 3 Processor,5000,4.6,200,12
650,MOBGPYM3GGV8XHGX,Nokia,"Nokia C32 (Beach Pink, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM', '16.55 cm (6.517 inch) Full HD+ Display', '50MP Rear Camera | 8MP Front Camera', '5000 mAh Battery', 'SC9863A1 Processor']",10999.0,7999.0,"{'average': 3.8, 'count': 1372, 'reviewCount': 115, 'breakup': [214, 81, 128, 260, 689]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/s/r/5/-original-imagr6gdwbbkpbhn.jpeg?q=90,Nokia C32 ,6.517,Full HD+,4,128,Beach Pink,SC9863A1 Processor,5000,3.8,50,8
652,MOBGX2F38JBJGZSE,Samsung,"Samsung Galaxy S24 Ultra 5G (Titanium Violet, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.27 cm (6.8 inch) Quad HD+ Display', '200MP + 50MP + 12MP + 10MP | 12MP Front Camera', '5000 mAh Battery', 'Snapdragon 8 Gen 3 Processor']",134999.0,121499.0,"{'average': 4.6, 'count': 1944, 'reviewCount': 247, 'breakup': [111, 27, 41, 231, 1534]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/w/5/h/-original-imahyvnuta2aadbw.jpeg?q=90,Samsung Galaxy S24 Ultra 5G ,6.8,HD+,12,256,Titanium Violet,Snapdragon 8 Gen 3 Processor,5000,4.6,200,12
655,MOBGX2F3QGZYYZAK,Samsung,"Samsung Galaxy S24 Ultra 5G (Titanium Black, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.27 cm (6.8 inch) Quad HD+ Display', '200MP + 50MP + 12MP + 10MP | 12MP Front Camera', '5000 mAh Battery', 'Snapdragon 8 Gen 3 Processor']",134999.0,121499.0,"{'average': 4.6, 'count': 1944, 'reviewCount': 247, 'breakup': [111, 27, 41, 231, 1534]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/y/e/8/-original-imahyvntxfrpuw6g.jpeg?q=90,Samsung Galaxy S24 Ultra 5G ,6.8,HD+,12,256,Titanium Black,Snapdragon 8 Gen 3 Processor,5000,4.6,200,12
657,MOBGYAFKR424BCHQ,Realme,"Realme 12 5G (Twilight Purple, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.07 cm (6.72 inch) Full HD+ Display', '108MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Dimensity 6100+ Processor']",19999.0,16999.0,"{'average': 4.4, 'count': 6987, 'reviewCount': 449, 'breakup': [351, 182, 489, 1584, 4381]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/d/z/j/-original-imagyzwyyprfyzg3.jpeg?q=90,Realme 12 5G ,6.72,Full HD+,6,128,Twilight Purple,Dimensity 6100+ Processor,5000,4.4,108,8
658,MOBGUFK4X5AEBBDE,Motorola,"Motorola G04 (Satin Blue, 64 Gb)",IN_STOCK,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '16MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Unisoc T606 Processor']",9999.0,6999.0,"{'average': 4.2, 'count': 14356, 'reviewCount': 914, 'breakup': [978, 500, 1316, 3396, 8166]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/k/6/l/g04-pb130012in-motorola-original-imagy3tfdhjgnzbd.jpeg?q=90,Motorola G04 ,6.6,HD+,4,64,Satin Blue,Unisoc T606 Processor,5000,4.2,16,5
659,MOBGYT2HY8JZCSPW,Samsung,"Samsung Galaxy A55 5G (Awesome Navy, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) Full HD+ Display', '50MP + 12MP + 5MP | 32MP Front Camera', '5000 mAh Battery', 'Samsung Exynos 1480 Processor']",48999.0,48999.0,"{'average': 4.3, 'count': 129, 'reviewCount': 10, 'breakup': [10, 3, 7, 24, 85]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/w/2/e/-original-imahyukdsyez5mnf.jpeg?q=90,Samsung Galaxy A55 5G ,6.6,Full HD+,12,256,Awesome Navy,Samsung Exynos 1480 Processor,5000,4.3,50,32
660,MOBGXYEM6JM5PTEX,Tecno,"Tecno Spark Go 2024 (Magic Skin Green, 128 Gb)",OUT_OF_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.66 cm (6.56 inch) HD+ Display', '13MP + 0.8MP | 8MP Front Camera', '5000 mAh Battery', 'Unisoc T606 Processor']",8499.0,7399.0,"{'average': 4.3, 'count': 871, 'reviewCount': 38, 'breakup': [51, 46, 74, 142, 558]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/a/e/v/spark-go-2024-bg6-tecno-original-imah26haztkqe5zq.jpeg?q=90,Tecno Spark Go 2024 ,6.56,HD+,4,128,Magic Skin Green,Unisoc T606 Processor,5000,4.3,8,8
661,MOBHYJ6Q3ZAFJTF7,Samsung,"Samsung Galaxy S24 5G (Cobalt Violet, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM', '15.75 cm (6.2 inch) Full HD+ Display', '50MP + 10MP + 12MP | 12MP Front Camera', '4000 mAh Battery', 'Exynos 2400 Processor']",74999.0,62999.0,"{'average': 4.4, 'count': 1097, 'reviewCount': 136, 'breakup': [63, 25, 50, 180, 779]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/j/g/y/-original-imahyvnuptvxgany.jpeg?q=90,Samsung Galaxy S24 5G ,6.2,Full HD+,8,128,Cobalt Violet,Exynos 2400 Processor,4000,4.4,50,12
662,MOBGYT2HAUQNPZYV,Samsung,"Samsung Galaxy A55 5G (Awesome Navy, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) Full HD+ Display', '50MP + 12MP + 5MP | 32MP Front Camera', '5000 mAh Battery', 'Samsung Exynos 1480 Processor']",45999.0,39999.0,"{'average': 4.5, 'count': 153, 'reviewCount': 13, 'breakup': [10, 3, 4, 27, 109]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/g/2/p/galaxy-a55-5g-sm-a556ezkgins-samsung-original-imahyz4ttzexmh2z.jpeg?q=90,Samsung Galaxy A55 5G ,6.6,Full HD+,8,256,Awesome Navy,Samsung Exynos 1480 Processor,5000,4.5,50,32
664,MOBGZF9PKZUSSM3Q,Redmi,"Redmi A3 (Lake Blue, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.04 cm (6.71 inch) HD+ Display', '8MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Mediatek Helio G36 Processor']",11999.0,8475.0,"{'average': 4.0, 'count': 687, 'reviewCount': 39, 'breakup': [86, 38, 66, 104, 393]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/r/z/1/a3-mzb0gnyin-redmi-original-imagy2wsmxhzdmbq.jpeg?q=90,Redmi A3 ,6.71,HD+,6,128,Lake Blue,Mediatek Helio G36 Processor,5000,4.0,8,5
666,MOBGNBFBJ3FZHRPX,Poco,"Poco X5 5G (Supernova Green, 128 Gb)",OUT_OF_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.94 cm (6.67 inch) Full HD+ Display', '48MP + 8MP + 2MP | 13MP Front Camera', '5000 mAh Battery', 'Qualcomm Snapdragon 695 Processor']",20999.0,13499.0,"{'average': 4.2, 'count': 39548, 'reviewCount': 3058, 'breakup': [3081, 1269, 3483, 9770, 21945]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/h/i/0/-original-imagnqpnhtwr8chu.jpeg?q=90,Poco X5 5G ,6.67,Full HD+,6,128,Supernova Green,Qualcomm Snapdragon 695 Processor,5000,4.2,48,13
667,MOBHF3DJJHWN5VPP,Oppo,"Oppo F27 Pro+ (Midnight Navy, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '64MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Dimensity 7050 Processor']",34999.0,29999.0,"{'average': 4.2, 'count': 1612, 'reviewCount': 75, 'breakup': [155, 48, 123, 236, 1050]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/g/0/h/-original-imahfqws9yjuv4vv.jpeg?q=90,Oppo F27 Pro+ ,6.7,Full HD+,8,256,Midnight Navy,Dimensity 7050 Processor,5000,4.2,64,8
668,MOBHF3DJ8CREZW7M,Oppo,"Oppo F27 Pro+ (Dusk Pink, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '64MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Dimensity 7050 Processor']",34999.0,29999.0,"{'average': 4.2, 'count': 1612, 'reviewCount': 75, 'breakup': [155, 48, 123, 236, 1050]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/x/q/u/-original-imahfqwstzrcnhpb.jpeg?q=90,Oppo F27 Pro+ ,6.7,Full HD+,8,256,Dusk Pink,Dimensity 7050 Processor,5000,4.2,64,8
669,MOBGUFK4HPBEUCFH,Motorola,"Motorola G04 (Concord Black, 64 Gb)",OUT_OF_STOCK,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '16MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Unisoc T606 Processor']",9999.0,6999.0,"{'average': 4.2, 'count': 14356, 'reviewCount': 914, 'breakup': [978, 500, 1316, 3396, 8166]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/v/s/z/g04-pb130010in-motorola-original-imagy3tecryv84k7.jpeg?q=90,Motorola G04 ,6.6,HD+,4,64,Concord Black,Unisoc T606 Processor,5000,4.2,16,5
670,MOBHY8KMQYHVZ6GE,Nothing,"Nothing Phone (2A) 5G (Blue, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP (OIS) + 50MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 7200 Pro Processor']",27999.0,25999.0,"{'average': 4.4, 'count': 43133, 'reviewCount': 4229, 'breakup': [2203, 903, 2245, 9395, 28387]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/z/g/z/-original-imahfptqbnyebxjg.jpeg?q=90,Nothing Phone ,6.7,Full HD+,8,256,Blue,Dimensity 7200 Pro Processor,5000,4.4,50,32
675,MOBHF3DJ3JGU7T7P,Oppo,"Oppo F27 Pro+ (Dusk Pink, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '64MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Dimensity 7050 Processor']",32999.0,27999.0,"{'average': 4.2, 'count': 1612, 'reviewCount': 75, 'breakup': [155, 48, 123, 236, 1050]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/x/q/u/-original-imahfqwstzrcnhpb.jpeg?q=90,Oppo F27 Pro+ ,6.7,Full HD+,8,128,Dusk Pink,Dimensity 7050 Processor,5000,4.2,64,8
676,MOBHF3DJM6Y8N4BA,Oppo,"Oppo F27 Pro+ (Midnight Navy, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '64MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Dimensity 7050 Processor']",32999.0,27999.0,"{'average': 4.2, 'count': 1612, 'reviewCount': 75, 'breakup': [155, 48, 123, 236, 1050]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/g/0/h/-original-imahfqws9yjuv4vv.jpeg?q=90,Oppo F27 Pro+ ,6.7,Full HD+,8,128,Midnight Navy,Dimensity 7050 Processor,5000,4.2,64,8
678,MOBHY8KMDGZNWH4G,Nothing,"Nothing Phone (2A) 5G (Blue, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP (OIS) + 50MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 7200 Pro Processor']",25999.0,23999.0,"{'average': 4.4, 'count': 43133, 'reviewCount': 4229, 'breakup': [2203, 903, 2245, 9395, 28387]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/z/g/z/-original-imahfptqbnyebxjg.jpeg?q=90,Nothing Phone ,6.7,Full HD+,8,128,Blue,Dimensity 7200 Pro Processor,5000,4.4,50,32
679,MOBGHT8UGWKZJ3S7,Samsung,"Samsung Galaxy A23 5G (Orange, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) Full HD+ Display', '50MP + 5MP | 8MP Front Camera', '5000 mAh Lithium Ion Battery', 'Qualcomm Snapdragon 695 (SM6375) Processor']",28990.0,19499.0,"{'average': 4.1, 'count': 2630, 'reviewCount': 174, 'breakup': [269, 82, 214, 627, 1438]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/n/p/g/-original-imagm2jtdqagpcfe.jpeg?q=90,Samsung Galaxy A23 5G ,6.6,Full HD+,6,128,Orange,Qualcomm Snapdragon 695 (SM6375) Processor,5000,4.1,50,8
680,MOBHYFV79ZWRGZDH,Tecno,"Tecno Pova 6 Pro (Meteorite Grey, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM | Expandable Upto 2 TB', '17.22 cm (6.78 inch) Full HD Display', '108MP Rear Camera | 32MP Front Camera', '6000 mAh Battery', 'Mediatek Dimensity 6080 Processor']",24999.0,21999.0,"{'average': 4.2, 'count': 163, 'reviewCount': 5, 'breakup': [15, 4, 9, 38, 97]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/s/5/s/pova-6-pro-li9-tecno-original-imahyfv7q6agzxwg.jpeg?q=90,Tecno Pova 6 Pro ,6.78,HD,12,256,Meteorite Grey,Mediatek Dimensity 6080 Processor,6000,4.2,108,32
685,MOBGUFHSVQGGJKHS,Itel,"Itel P 55 5G (Mint Green, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + 5MP | 8MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 6080 Processor']",13499.0,10470.0,"{'average': 4.4, 'count': 39, 'reviewCount': 1, 'breakup': [3, 1, 2, 5, 28]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/u/q/a/p-55-5g-p555g-itel-original-imah2ysrcsjbkdqx.jpeg?q=90,Itel P 55 5G ,6.6,HD+,6,128,Mint Green,Mediatek Dimensity 6080 Processor,5000,4.4,50,8
686,MOBGQFX6AG2JD2XT,Motorola,"Motorola Edge 40 Neo (Soothing Sea, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM', '16.64 cm (6.55 inch) Full HD+ Display', '50MP + 13MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 7030 Processor']",27999.0,22999.0,"{'average': 4.3, 'count': 55071, 'reviewCount': 5768, 'breakup': [3607, 1222, 3015, 12171, 35056]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/j/q/2/edge-40-neo-payj0001in-motorola-original-imagtkf5ewhafvhh.jpeg?q=90,Motorola Edge 40 Neo ,6.55,Full HD+,8,128,Soothing Sea,Dimensity 7030 Processor,5000,4.3,50,32
687,MOBH2AHZSYDG7VF8,Oppo,"Oppo Reno 12 5G (Sunset Peach, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 2MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 7300 Energy Processor']",43999.0,32999.0,"{'average': 4.5, 'count': 154, 'reviewCount': 5, 'breakup': [5, 5, 8, 33, 103]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/z/i/n/-original-imah3cmbp39chuhr.jpeg?q=90,Oppo Reno 12 5G ,6.7,Full HD+,8,256,Sunset Peach,Dimensity 7300 Energy Processor,5000,4.5,50,32
688,MOBGM2EHJUTMXMFV,Motorola,"Motorola G32 (Mineral Gray, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM', '16.51 cm (6.5 inch) Full HD+ Display', '50MP + 8MP + 2MP | 16MP Front Camera', '5000 mAh Lithium Polymer Battery', 'Qualcomm Snapdragon 680 Processor']",18999.0,10999.0,"{'average': 4.2, 'count': 122829, 'reviewCount': 9919, 'breakup': [10484, 4200, 10223, 29009, 68913]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/m/j/j/-original-imagnvvwvzyhfvx9.jpeg?q=90,Motorola G32 ,6.5,Full HD+,8,128,Mineral Gray,Qualcomm Snapdragon 680 Processor,5000,4.2,50,16
693,MOBGT5F2R7MCUSWG,Google,"Google Pixel 8 (Hazel, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM', '15.75 cm (6.2 inch) Full HD+ Display', '50MP + 12MP | 10.5MP Front Camera', '4575 mAh Battery', 'Tensor G3 Processor']",82999.0,68999.0,"{'average': 4.2, 'count': 2596, 'reviewCount': 349, 'breakup': [271, 71, 120, 430, 1704]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/e/y/x/-original-imagtwh5zrcy9hfj.jpeg?q=90,Google Pixel 8 ,6.2,Full HD+,8,256,Hazel,Tensor G3 Processor,4575,4.2,50,5
694,MOBGZCBWEWMYGYRJ,Infinix,"Infinix Note 40 Pro+ 5G (Vintage Green, 256 Gb)",IN_STOCK,"['12 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Full HD+ Display', '108MP (OIS) + 2MP + 2MP | 32MP Front Camera', '4600 mAh Battery', 'Mediatek Dimensity 7020 Processor']",32999.0,24999.0,"{'average': 4.1, 'count': 1272, 'reviewCount': 94, 'breakup': [139, 46, 80, 229, 778]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/p/r/b/-original-imahfsy4pxhju98w.jpeg?q=90,Infinix Note 40 Pro+ 5G ,6.78,Full HD+,12,256,Vintage Green,Mediatek Dimensity 7020 Processor,4600,4.1,108,32
695,MOBGWD85TPKVHRUA,Samsung,"Samsung Galaxy A15 5G (Light Blue, 128 Gb)",OUT_OF_STOCK,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) Full HD+ Display', '50MP + 5MP + 2MP | 13MP Front Camera', '5000 mAh Battery', 'Dimensity 6100+ Processor']",21499.0,18548.0,"{'average': 4.2, 'count': 1442, 'reviewCount': 99, 'breakup': [133, 52, 96, 329, 832]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/s/i/c/galaxy-a15-5g-sm-a156elbnins-samsung-original-imagwkgykezdha6z.jpeg?q=90,Samsung Galaxy A15 5G ,6.5,Full HD+,8,128,Light Blue,Dimensity 6100+ Processor,5000,4.2,50,13
700,MOBGWD85UZC8C3V8,Samsung,"Samsung Galaxy A15 5G (Blue Black, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) Full HD+ Display', '50MP + 5MP + 2MP | 13MP Front Camera', '5000 mAh Battery', 'Dimensity 6100+ Processor']",24499.0,22139.0,"{'average': 4.2, 'count': 1442, 'reviewCount': 99, 'breakup': [133, 52, 96, 329, 832]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/k/b/x/galaxy-a15-5g-sm-a156ezknins-samsung-original-imagwkgyvgfsza34.jpeg?q=90,Samsung Galaxy A15 5G ,6.5,Full HD+,8,256,Blue Black,Dimensity 6100+ Processor,5000,4.2,50,13
706,MOBGTR5XDTPJZR8P,Oppo,"Oppo A18 (Glowing Black, 64 Gb)",IN_STOCK,"['4 GB RAM | 64 GB ROM', '16.66 cm (6.56 inch) HD+ Display', '8MP + 2MP | 5MP Front Camera', '5000 mAh Battery', 'Helio G85 Processor']",14999.0,8999.0,"{'average': 4.3, 'count': 1509, 'reviewCount': 70, 'breakup': [84, 61, 105, 289, 970]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/u/x/x/-original-imaguy4ag7rbpshw.jpeg?q=90,Oppo A18 ,6.56,HD+,4,64,Glowing Black,Helio G85 Processor,5000,4.3,8,5
708,MOBGZ8P7BAHYFYSG,Poco,"Poco C61 (Diamond Dust Black, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.04 cm (6.71 inch) HD+ Display', '8MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Helio G36 Processor']",9999.0,8499.0,"{'average': 4.2, 'count': 8340, 'reviewCount': 260, 'breakup': [624, 300, 711, 1451, 5254]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/e/o/w/-original-imagzcfjjbheykct.jpeg?q=90,Poco C61 ,6.71,HD+,6,128,Diamond Dust Black,Helio G36 Processor,5000,4.2,8,5
709,MOBGYAFKZJPYABMH,Realme,"Realme 12 5G (Woodland Green, 128 Gb)",IN_STOCK,"['8 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.07 cm (6.72 inch) Full HD+ Display', '108MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Dimensity 6100+ Processor']",20999.0,17999.0,"{'average': 4.3, 'count': 1984, 'reviewCount': 106, 'breakup': [127, 51, 131, 474, 1201]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/f/k/s/-original-imagyzwynj6yu6xu.jpeg?q=90,Realme 12 5G ,6.72,Full HD+,8,128,Woodland Green,Dimensity 6100+ Processor,5000,4.3,108,8
711,MOBGY9EXSCVBJ9DR,Honor,"Honor X9B (Midnight Black, 256 Gb)",IN_STOCK,"['8 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Full HD+ Display', '108MP + 5MP + 2MP | 16MP Front Camera', '5800 mAh Battery', 'Qualcomm Snapdragon 6 Gen 1 Processor']",30999.0,21998.0,"{'average': 4.2, 'count': 491, 'reviewCount': 27, 'breakup': [51, 18, 23, 95, 304]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/p/o/8/x9b-ali-nx1-honor-original-imah29tgs9rgh7ep.jpeg?q=90,Honor X9B ,6.78,Full HD+,8,256,Midnight Black,Qualcomm Snapdragon 6 Gen 1 Processor,5800,4.2,108,16
713,MOBH2MFGXY7CCHFK,Poco,"Poco M6 5G (Galactic Black, 64 Gb)",IN_STOCK,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '17.12 cm (6.74 inch) HD+ Display', '50MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 6100+ Processor']",11999.0,8499.0,"{'average': 4.1, 'count': 40737, 'reviewCount': 2160, 'breakup': [4075, 1705, 3624, 8097, 23236]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/h/b/r/-original-imagytcpcnjbduwh.jpeg?q=90,Poco M6 5G ,6.74,HD+,4,64,Galactic Black,Mediatek Dimensity 6100+ Processor,5000,4.1,50,5
715,MOBGYAFKW3YMGCC6,Realme,"Realme 12 5G (Woodland Green, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.07 cm (6.72 inch) Full HD+ Display', '108MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Dimensity 6100+ Processor']",19999.0,16999.0,"{'average': 4.4, 'count': 6987, 'reviewCount': 449, 'breakup': [351, 182, 489, 1584, 4381]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/f/k/s/-original-imagyzwynj6yu6xu.jpeg?q=90,Realme 12 5G ,6.72,Full HD+,6,128,Woodland Green,Dimensity 6100+ Processor,5000,4.4,108,8
716,MOBGZF9PUR4WPTVM,Redmi,"Redmi A3 (Midnight Black, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.04 cm (6.71 inch) HD+ Display', '8MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Mediatek Helio G36 Processor']",10999.0,7599.0,"{'average': 4.1, 'count': 1095, 'reviewCount': 44, 'breakup': [96, 58, 106, 204, 631]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/i/h/z/a3-mzb0h0lin-redmi-original-imagy2wsmpetm6s2.jpeg?q=90,Redmi A3 ,6.71,HD+,4,128,Midnight Black,Mediatek Helio G36 Processor,5000,4.1,8,5
720,MOBGXWT8YHZGFQST,Vivo,"Vivo Y200E 5G (Saffron Delight, 128 Gb)",IN_STOCK,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.94 cm (6.67 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '5000 mAh Battery', 'Snapdragon 4 Gen 2 Processor']",23999.0,19999.0,"{'average': 4.3, 'count': 285, 'reviewCount': 14, 'breakup': [20, 6, 20, 73, 166]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/j/e/l/y200e-5g-v2336-vivo-original-imagya7gdtxepwgv.jpeg?q=90,Vivo Y200E 5G ,6.67,Full HD+,6,128,Saffron Delight,Snapdragon 4 Gen 2 Processor,5000,4.3,50,16
722,MOBGT3SHARHHCNC6,Oppo,"Oppo A38 (Glowing Black, 128 Gb)",IN_STOCK,"['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.66 cm (6.56 inch) HD Display', '50MP + 2MP | 5MP Front Camera', '5000 mAh Battery', 'Helio G70 (MT6769) Processor']",16999.0,9999.0,"{'average': 4.3, 'count': 1516, 'reviewCount': 52, 'breakup': [90, 43, 109, 328, 946]}",https://rukminim2.flixcart.com/image/1160/1160/xif0q/mobile/0/4/b/-original-imagt6f9hj8thvtd.jpeg?q=90,Oppo A38 ,6.56,HD,4,128,Glowing Black,Helio G70 (MT6769) Processor,5000,4.3,50,5
